lib_type	condition_name	replicate_num	strand	file_path
p1	OD_0.2	1	fwd	inputs/wigs/A_baumannii_ATCC_17978_OD_0.2_rep1_p1_forward.wig
p2	OD_0.2	1	fwd	inputs/wigs/A_baumannii_ATCC_17978_OD_0.2_rep1_p2_forward.wig
p1	OD_0.2	2	fwd	inputs/wigs/A_baumannii_ATCC_17978_OD_0.2_rep2_p1_forward.wig
p2	OD_0.2	2	fwd	inputs/wigs/A_baumannii_ATCC_17978_OD_0.2_rep2_p2_forward.wig
p1	OD_0.2	3	fwd	inputs/wigs/A_baumannii_ATCC_17978_OD_0.2_rep3_p1_forward.wig
p2	OD_0.2	3	fwd	inputs/wigs/A_baumannii_ATCC_17978_OD_0.2_rep3_p2_forward.wig
p1	OD_2.0	1	fwd	inputs/wigs/A_baumannii_ATCC_17978_OD_2.0_rep1_p1_forward.wig
p2	OD_2.0	1	fwd	inputs/wigs/A_baumannii_ATCC_17978_OD_2.0_rep1_p2_forward.wig
p1	OD_2.0	2	fwd	inputs/wigs/A_baumannii_ATCC_17978_OD_2.0_rep2_p1_forward.wig
p2	OD_2.0	2	fwd	inputs/wigs/A_baumannii_ATCC_17978_OD_2.0_rep2_p2_forward.wig
p1	OD_2.0	3	fwd	inputs/wigs/A_baumannii_ATCC_17978_OD_2.0_rep3_p1_forward.wig
p2	OD_2.0	3	fwd	inputs/wigs/A_baumannii_ATCC_17978_OD_2.0_rep3_p2_forward.wig
p1	OD_0.2	1	rev	inputs/wigs/A_baumannii_ATCC_17978_OD_0.2_rep1_p1_reverse.wig
p2	OD_0.2	1	rev	inputs/wigs/A_baumannii_ATCC_17978_OD_0.2_rep1_p2_reverse.wig
p1	OD_0.2	2	rev	inputs/wigs/A_baumannii_ATCC_17978_OD_0.2_rep2_p1_reverse.wig
p2	OD_0.2	2	rev	inputs/wigs/A_baumannii_ATCC_17978_OD_0.2_rep2_p2_reverse.wig
p1	OD_0.2	3	rev	inputs/wigs/A_baumannii_ATCC_17978_OD_0.2_rep3_p1_reverse.wig
p2	OD_0.2	3	rev	inputs/wigs/A_baumannii_ATCC_17978_OD_0.2_rep3_p2_reverse.wig
p1	OD_2.0	1	rev	inputs/wigs/A_baumannii_ATCC_17978_OD_2.0_rep1_p1_reverse.wig
p2	OD_2.0	1	rev	inputs/wigs/A_baumannii_ATCC_17978_OD_2.0_rep1_p2_reverse.wig
p1	OD_2.0	2	rev	inputs/wigs/A_baumannii_ATCC_17978_OD_2.0_rep2_p1_reverse.wig
p2	OD_2.0	2	rev	inputs/wigs/A_baumannii_ATCC_17978_OD_2.0_rep2_p2_reverse.wig
p1	OD_2.0	3	rev	inputs/wigs/A_baumannii_ATCC_17978_OD_2.0_rep3_p1_reverse.wig
p2	OD_2.0	3	rev	inputs/wigs/A_baumannii_ATCC_17978_OD_2.0_rep3_p2_reverse.wig
